row_id,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,timestamp,date,time,aqi_bucket
0,5,1682.28,0.13,18.85,12.88,8.82,64.62,90.85,17.48,2020-11-25 01:00:00,2020-11-25,01:00:00,Very Poor
1,5,2109.53,0.36,21.94,9.3,10.37,93.95,127.43,21.03,2020-11-25 02:00:00,2020-11-25,02:00:00,Very Poor
2,5,2750.4,1.41,26.39,4.16,12.52,136.28,181.39,25.59,2020-11-25 03:00:00,2020-11-25,03:00:00,Very Poor
3,5,3337.86,4.81,28.45,0.78,14.07,175.09,233.2,28.63,2020-11-25 04:00:00,2020-11-25,04:00:00,Very Poor
4,5,3738.4,10.95,28.45,0.1,15.26,200.27,262.51,30.91,2020-11-25 05:00:00,2020-11-25,05:00:00,Very Poor
5,5,4913.33,29.5,29.13,0.0,21.22,273.98,354.8,47.12,2020-11-25 06:00:00,2020-11-25,06:00:00,Very Poor
6,5,6248.47,49.17,37.36,0.81,26.94,349.76,455.73,57.76,2020-11-25 07:00:00,2020-11-25,07:00:00,Very Poor
7,5,7583.62,25.26,94.59,25.03,32.9,447.4,580.48,63.84,2020-11-25 08:00:00,2020-11-25,08:00:00,Very Poor
8,5,7476.81,3.86,85.68,134.47,34.81,480.66,617.63,69.92,2020-11-25 09:00:00,2020-11-25,09:00:00,Very Poor
9,5,2910.61,0.94,22.96,123.02,18.36,145.33,203.8,39.52,2020-11-25 10:00:00,2020-11-25,10:00:00,Very Poor
10,5,2243.04,0.67,17.65,111.58,15.74,100.66,143.32,35.97,2020-11-25 11:00:00,2020-11-25,11:00:00,Very Poor
11,5,1976.01,0.54,17.14,100.14,14.42,80.8,115.95,33.95,2020-11-25 12:00:00,2020-11-25,12:00:00,Very Poor
12,5,1642.23,0.51,16.62,76.53,12.28,57.79,84.65,28.88,2020-11-25 13:00:00,2020-11-25,13:00:00,Very Poor
13,4,1388.55,0.57,16.62,57.22,10.61,43.15,63.82,24.57,2020-11-25 14:00:00,2020-11-25,14:00:00,Poor
14,4,1268.39,0.57,17.14,43.63,9.54,36.38,54.2,22.04,2020-11-25 15:00:00,2020-11-25,15:00:00,Poor
15,4,1348.5,0.99,20.56,33.62,9.78,37.88,56.37,22.29,2020-11-25 16:00:00,2020-11-25,16:00:00,Poor
16,4,1562.12,1.16,26.05,22.89,10.49,46.04,67.05,23.31,2020-11-25 17:00:00,2020-11-25,17:00:00,Poor
17,5,1762.39,0.8,28.1,9.92,10.97,56.79,80.18,24.07,2020-11-25 18:00:00,2020-11-25,18:00:00,Very Poor
18,5,1842.5,1.27,26.05,6.62,11.33,66.28,92.22,25.59,2020-11-25 19:00:00,2020-11-25,19:00:00,Very Poor
19,5,1762.39,0.85,22.96,8.05,10.85,65.6,91.96,24.57,2020-11-25 20:00:00,2020-11-25,20:00:00,Very Poor
20,5,1615.52,0.51,19.88,10.1,10.01,61.1,86.55,22.55,2020-11-25 21:00:00,2020-11-25,21:00:00,Very Poor
21,5,1495.36,0.43,18.34,11.0,8.94,54.92,78.52,19.76,2020-11-25 22:00:00,2020-11-25,22:00:00,Very Poor
22,4,1281.74,0.19,16.45,13.05,7.39,42.08,61.96,14.69,2020-11-25 23:00:00,2020-11-25,23:00:00,Poor
23,4,1174.93,0.06,14.4,15.91,6.97,37.33,56.06,13.55,2020-11-26 00:00:00,2020-11-26,00:00:00,Poor
24,5,1388.55,0.09,15.42,14.84,7.87,50.5,71.52,14.82,2020-11-26 01:00:00,2020-11-26,01:00:00,Very Poor
25,5,1949.31,0.43,20.22,8.94,9.89,85.51,113.83,18.75,2020-11-26 02:00:00,2020-11-26,02:00:00,Very Poor
26,5,2670.29,2.1,24.68,3.0,12.28,131.38,170.5,23.81,2020-11-26 03:00:00,2020-11-26,03:00:00,Very Poor
27,5,3845.22,11.18,25.02,0.15,15.26,211.38,268.98,32.17,2020-11-26 04:00:00,2020-11-26,04:00:00,Very Poor
28,5,5767.82,32.63,23.99,0.0,21.7,351.78,427.93,54.21,2020-11-26 05:00:00,2020-11-26,05:00:00,Very Poor
29,5,10894.78,94.77,27.76,0.0,47.21,727.98,855.34,145.91,2020-11-26 06:00:00,2020-11-26,06:00:00,Very Poor
30,5,19439.7,212.79,40.44,0.02,79.16,1375.84,1579.56,243.19,2020-11-26 07:00:00,2020-11-26,07:00:00,Very Poor
31,5,25848.39,282.53,100.08,0.37,77.25,1852.05,2117.27,170.23,2020-11-26 08:00:00,2020-11-26,08:00:00,Very Poor
32,5,22857.67,130.53,238.54,8.4,59.13,1613.74,1845.53,106.39,2020-11-26 09:00:00,2020-11-26,09:00:00,Very Poor
33,5,3391.27,1.87,45.24,59.37,18.36,156.6,203.75,37.49,2020-11-26 10:00:00,2020-11-26,10:00:00,Very Poor
34,5,2002.72,0.77,23.31,60.8,13.95,76.36,104.96,31.67,2020-11-26 11:00:00,2020-11-26,11:00:00,Very Poor
35,5,1588.82,0.53,19.36,54.36,12.04,54.74,76.63,28.12,2020-11-26 12:00:00,2020-11-26,12:00:00,Very Poor
36,4,1308.44,0.52,17.14,45.42,10.13,40.4,58.13,23.81,2020-11-26 13:00:00,2020-11-26,13:00:00,Poor
37,4,1201.63,0.69,16.62,40.77,9.3,34.61,51.07,21.79,2020-11-26 14:00:00,2020-11-26,14:00:00,Poor
38,4,1161.58,0.85,17.31,36.12,8.7,31.75,48.25,20.27,2020-11-26 15:00:00,2020-11-26,15:00:00,Poor
39,4,1255.04,1.4,20.74,29.33,8.94,34.1,52.35,21.28,2020-11-26 16:00:00,2020-11-26,16:00:00,Poor
40,4,1495.36,1.5,26.39,18.24,10.01,42.74,64.1,23.56,2020-11-26 17:00:00,2020-11-26,17:00:00,Poor
41,5,1708.98,1.12,28.79,7.87,10.97,55.47,80.11,25.84,2020-11-26 18:00:00,2020-11-26,18:00:00,Very Poor
42,5,1922.61,1.57,28.1,5.72,12.16,70.28,98.7,28.63,2020-11-26 19:00:00,2020-11-26,19:00:00,Very Poor
43,5,2002.72,1.17,26.73,6.71,12.52,77.43,107.56,29.13,2020-11-26 20:00:00,2020-11-26,20:00:00,Very Poor
44,5,1922.61,0.62,24.33,9.48,12.04,77.72,107.92,27.87,2020-11-26 21:00:00,2020-11-26,21:00:00,Very Poor
45,5,1735.69,0.33,21.59,11.98,10.49,66.81,93.97,23.31,2020-11-26 22:00:00,2020-11-26,22:00:00,Very Poor
46,4,1361.85,0.11,17.82,14.84,8.11,46.66,68.16,16.47,2020-11-26 23:00:00,2020-11-26,23:00:00,Poor
47,4,1201.63,0.05,14.91,16.63,7.39,38.8,58.14,14.57,2020-11-27 00:00:00,2020-11-27,00:00:00,Poor
48,4,1308.44,0.06,14.74,15.38,7.75,46.02,66.26,14.95,2020-11-27 01:00:00,2020-11-27,01:00:00,Poor
49,5,1682.28,0.19,17.65,11.27,9.3,67.34,91.01,17.73,2020-11-27 02:00:00,2020-11-27,02:00:00,Very Poor
50,5,2136.23,0.63,21.59,6.8,11.44,95.78,124.73,22.04,2020-11-27 03:00:00,2020-11-27,03:00:00,Very Poor
51,5,2696.99,2.21,26.05,2.48,14.07,128.98,164.36,26.6,2020-11-27 04:00:00,2020-11-27,04:00:00,Very Poor
52,5,3391.27,7.26,29.82,0.34,17.88,168.07,212.24,34.96,2020-11-27 05:00:00,2020-11-27,05:00:00,Very Poor
53,5,4859.92,23.47,34.96,0.01,28.13,256.0,319.71,63.33,2020-11-27 06:00:00,2020-11-27,06:00:00,Very Poor
54,5,5340.58,30.85,43.53,0.31,33.38,268.04,340.14,76.0,2020-11-27 07:00:00,2020-11-27,07:00:00,Very Poor
55,5,5500.79,19.45,66.49,6.35,35.29,273.51,346.55,74.98,2020-11-27 08:00:00,2020-11-27,08:00:00,Very Poor
56,5,5447.39,3.16,71.97,61.51,36.24,272.23,339.69,72.96,2020-11-27 09:00:00,2020-11-27,09:00:00,Very Poor
57,5,3471.37,1.09,36.33,103.0,23.6,156.94,196.49,46.61,2020-11-27 10:00:00,2020-11-27,10:00:00,Very Poor
58,5,2296.45,0.86,22.62,101.57,15.97,92.79,118.64,31.67,2020-11-27 11:00:00,2020-11-27,11:00:00,Very Poor
59,5,1548.77,0.85,16.79,85.83,11.09,54.55,74.31,22.55,2020-11-27 12:00:00,2020-11-27,12:00:00,Very Poor
60,4,1148.22,1.1,13.54,67.95,8.23,35.41,51.8,17.73,2020-11-27 13:00:00,2020-11-27,13:00:00,Poor
61,4,1041.41,1.26,11.82,67.95,7.51,30.37,45.08,16.72,2020-11-27 14:00:00,2020-11-27,14:00:00,Poor
62,4,1041.41,1.37,11.82,68.67,7.21,28.82,42.34,16.47,2020-11-27 15:00:00,2020-11-27,15:00:00,Poor
63,4,1455.31,2.26,21.25,62.94,9.78,44.32,62.74,23.05,2020-11-27 16:00:00,2020-11-27,16:00:00,Poor
64,5,2109.53,2.43,36.33,33.62,12.99,69.79,95.91,29.64,2020-11-27 17:00:00,2020-11-27,17:00:00,Very Poor
65,5,2723.69,4.58,41.81,3.89,15.74,101.71,136.44,35.47,2020-11-27 18:00:00,2020-11-27,18:00:00,Very Poor
66,5,3578.19,16.32,35.3,0.11,19.79,155.8,202.66,44.58,2020-11-27 19:00:00,2020-11-27,19:00:00,Very Poor
67,5,4325.87,23.92,32.56,0.01,22.17,206.16,263.78,48.64,2020-11-27 20:00:00,2020-11-27,20:00:00,Very Poor
68,5,4539.49,24.36,31.87,0.01,22.65,228.66,293.35,48.64,2020-11-27 21:00:00,2020-11-27,21:00:00,Very Poor
69,5,4165.65,20.79,30.85,0.02,19.79,206.59,269.48,41.54,2020-11-27 22:00:00,2020-11-27,22:00:00,Very Poor
70,5,3204.35,13.19,29.13,0.12,14.31,142.19,192.99,27.11,2020-11-27 23:00:00,2020-11-27,23:00:00,Very Poor
71,5,2323.15,4.92,25.71,1.08,10.13,94.16,133.76,17.99,2020-11-28 00:00:00,2020-11-28,00:00:00,Very Poor
72,5,2002.72,1.33,21.42,3.76,8.35,81.18,117.02,15.07,2020-11-28 01:00:00,2020-11-28,01:00:00,Very Poor
73,5,2136.23,1.08,20.05,4.43,8.7,95.82,134.9,17.23,2020-11-28 02:00:00,2020-11-28,02:00:00,Very Poor
74,5,2483.37,1.7,21.42,3.0,9.89,121.03,165.69,21.28,2020-11-28 03:00:00,2020-11-28,03:00:00,Very Poor
75,5,2937.32,4.25,22.96,0.96,11.68,151.73,200.54,25.84,2020-11-28 04:00:00,2020-11-28,04:00:00,Very Poor
76,5,3791.81,13.19,23.31,0.07,15.5,207.78,265.87,36.99,2020-11-28 05:00:00,2020-11-28,05:00:00,Very Poor
77,5,6675.72,47.83,26.05,0.0,29.09,402.39,495.86,82.08,2020-11-28 06:00:00,2020-11-28,06:00:00,Very Poor
78,5,11001.59,103.71,37.7,0.15,44.35,701.56,843.47,121.59,2020-11-28 07:00:00,2020-11-28,07:00:00,Very Poor
79,5,14312.74,84.04,131.61,6.88,48.16,961.07,1130.94,107.41,2020-11-28 08:00:00,2020-11-28,08:00:00,Very Poor
80,5,13885.5,7.71,163.14,145.91,43.39,1024.07,1182.81,82.08,2020-11-28 09:00:00,2020-11-28,09:00:00,Very Poor
81,5,3524.78,0.78,22.96,158.79,18.84,190.7,237.25,36.99,2020-11-28 10:00:00,2020-11-28,10:00:00,Very Poor
82,5,2349.85,0.5,13.02,145.91,14.31,108.3,137.84,30.65,2020-11-28 11:00:00,2020-11-28,11:00:00,Very Poor
83,5,1895.9,0.43,10.97,140.19,12.52,83.57,106.34,27.36,2020-11-28 12:00:00,2020-11-28,12:00:00,Very Poor
84,5,1455.31,0.49,9.94,117.3,10.13,56.01,73.57,22.29,2020-11-28 13:00:00,2020-11-28,13:00:00,Very Poor
85,4,1134.87,0.63,9.51,94.41,8.11,37.32,52.25,18.24,2020-11-28 14:00:00,2020-11-28,14:00:00,Poor
86,4,1001.36,0.8,10.03,78.68,7.03,28.52,42.0,16.21,2020-11-28 15:00:00,2020-11-28,15:00:00,Poor
87,4,1321.79,1.48,18.51,65.8,8.82,39.09,57.0,21.53,2020-11-28 16:00:00,2020-11-28,16:00:00,Poor
88,5,1869.2,1.41,31.53,39.7,11.33,59.76,84.44,26.6,2020-11-28 17:00:00,2020-11-28,17:00:00,Very Poor
89,5,2296.45,0.96,37.7,10.55,12.99,82.58,113.54,29.39,2020-11-28 18:00:00,2020-11-28,18:00:00,Very Poor
90,5,3044.13,6.99,35.99,1.32,15.97,129.85,170.59,35.47,2020-11-28 19:00:00,2020-11-28,19:00:00,Very Poor
91,5,3952.03,16.09,32.9,0.06,19.07,192.21,245.52,41.04,2020-11-28 20:00:00,2020-11-28,20:00:00,Very Poor
92,5,4592.9,21.68,31.87,0.01,20.74,240.17,306.51,44.58,2020-11-28 21:00:00,2020-11-28,21:00:00,Very Poor
93,5,4539.49,21.46,31.19,0.01,18.84,237.05,308.05,40.03,2020-11-28 22:00:00,2020-11-28,22:00:00,Very Poor
94,5,3417.97,13.3,28.79,0.09,13.11,163.35,223.19,25.08,2020-11-28 23:00:00,2020-11-28,23:00:00,Very Poor
